queue_length,priority,num_doctors,arrival_rate,dept_load,time_of_day,free_doctors,wait_time
28,1,4,0.725,5,19,1,55.0
4,2,5,0.227,2,2,3,12.0
20,1,5,0.368,2,7,3,60.0
25,2,4,0.17,5,22,1,31.0
28,1,4,0.681,5,17,1,38.0
7,1,4,0.279,0,1,4,37.0
28,1,4,0.722,5,18,1,50.0
27,2,4,0.456,5,6,1,34.0
28,1,4,0.228,5,5,1,38.0
19,2,4,0.521,5,13,1,24.0
28,1,4,0.54,5,13,1,38.0
21,1,4,0.48,5,6,1,26.0
13,1,5,0.221,2,3,3,40.0
28,0,4,0.502,5,21,1,54.0
28,1,4,0.32,5,16,1,38.0
17,1,5,0.233,2,3,3,50.0
11,1,4,0.501,0,10,4,53.0
28,1,4,0.132,5,0,1,56.0
28,1,4,0.41,5,15,1,53.0
6,2,4,0.673,0,9,4,29.0
14,1,5,0.663,2,20,3,42.0
10,2,4,0.556,5,11,1,12.0
28,1,4,0.442,5,16,1,39.0
28,0,4,0.347,5,6,1,59.0
4,2,3,0.581,1,12,2,13.0
28,1,4,0.249,5,22,1,43.0
3,2,4,0.662,0,19,4,17.0
13,1,5,0.712,2,19,3,39.0
6,2,3,0.232,0,0,3,29.0
28,1,4,0.214,5,5,1,57.0
4,2,5,0.523,2,20,3,13.0
28,1,4,0.374,5,8,1,50.0
28,1,4,0.153,5,5,1,43.0
28,1,4,0.561,5,12,1,42.0
28,0,4,0.495,5,15,1,55.0
28,1,4,0.598,5,20,1,47.0
10,0,4,0.723,0,9,4,52.0
28,1,4,0.658,5,12,1,60.0
25,2,4,0.259,5,2,1,31.0
28,1,4,0.401,5,7,1,41.0
28,1,4,0.215,5,23,1,38.0
28,1,4,0.623,5,9,1,54.0
4,2,3,0.339,0,6,3,22.0
28,1,4,0.244,5,5,1,41.0
28,0,4,0.57,5,21,1,56.0
28,1,4,0.506,5,19,1,39.0
3,2,3,0.661,1,12,2,11.0
14,2,4,0.335,5,15,1,17.0
28,1,4,0.735,5,9,1,44.0
28,1,4,0.738,5,10,1,36.0
28,1,4,0.283,5,1,1,44.0
7,2,5,0.174,2,1,3,20.0
18,2,4,0.103,5,23,1,22.0
14,1,3,0.486,1,7,2,47.0
20,1,5,0.186,2,5,3,59.0
22,2,4,0.742,5,11,1,28.0
13,1,3,0.293,1,4,2,42.0
28,1,4,0.713,5,13,1,52.0
4,1,3,0.574,1,13,2,15.0
28,1,4,0.377,5,7,1,48.0
14,1,5,0.713,2,11,3,42.0
5,1,3,0.579,1,20,2,16.0
5,2,3,0.542,1,18,2,16.0
18,1,4,0.411,5,16,1,23.0
12,2,4,0.734,5,20,1,15.0
12,2,4,0.239,5,2,1,15.0
8,1,3,0.214,0,4,3,39.0
19,2,4,0.524,5,12,1,24.0
3,1,3,0.223,0,5,3,14.0
26,1,4,0.498,5,16,1,33.0
28,1,4,0.535,5,10,1,39.0
28,1,4,0.204,5,23,1,56.0
7,2,3,0.275,0,5,3,33.0
11,1,3,0.685,1,17,2,37.0
3,1,4,0.239,0,1,4,14.0
5,2,5,0.24,2,22,3,14.0
15,1,5,0.172,2,23,3,45.0
10,2,5,0.159,2,0,3,30.0
25,1,4,0.462,5,14,1,31.0
12,1,4,0.703,5,9,1,15.0
28,1,4,0.473,5,8,1,38.0
28,1,4,0.728,5,11,1,43.0
28,1,4,0.402,5,8,1,36.0
10,1,4,0.625,0,20,4,50.0
13,1,5,0.7,2,11,3,39.0
18,2,4,0.23,5,0,1,23.0
28,0,4,0.24,5,22,1,55.0
9,2,4,0.459,5,7,1,11.0
15,1,5,0.278,2,3,3,46.0
28,1,4,0.584,5,21,1,43.0
28,1,4,0.594,5,12,1,55.0
28,1,4,0.523,5,18,1,50.0
17,2,4,0.216,5,0,1,21.0
14,1,5,0.307,2,7,3,42.0
4,2,5,0.616,2,10,3,12.0
11,1,3,0.636,0,10,3,54.0
28,1,4,0.157,5,5,1,60.0
28,1,4,0.418,5,8,1,54.0
11,1,4,0.508,5,20,1,14.0
14,2,4,0.509,5,21,1,17.0
28,1,4,0.465,5,7,1,57.0
7,2,3,0.172,1,1,2,24.0
26,1,4,0.325,5,16,1,32.0
11,1,3,0.404,0,14,3,54.0
16,1,5,0.692,2,12,3,47.0
7,2,5,0.554,2,20,3,22.0
28,1,4,0.225,5,2,1,59.0
28,1,4,0.521,5,13,1,40.0
9,2,5,0.11,2,1,3,28.0
10,1,2,0.633,0,13,2,50.0
28,1,4,0.208,5,4,1,44.0
26,2,4,0.227,5,3,1,32.0
5,2,5,0.682,2,19,3,14.0
28,1,4,0.495,5,15,1,40.0
15,1,5,0.203,2,22,3,45.0
9,2,5,0.581,2,19,3,27.0
22,2,4,0.459,5,16,1,27.0
28,1,4,0.568,5,20,1,42.0
19,2,4,0.61,5,21,1,24.0
22,1,4,0.52,5,9,1,28.0
12,0,4,0.305,0,16,4,58.0
28,1,4,0.293,5,23,1,48.0
13,1,5,0.467,2,7,3,40.0
23,1,4,0.439,5,7,1,29.0
5,1,3,0.602,0,11,3,23.0
3,2,4,0.543,0,19,4,13.0
17,2,4,0.131,5,22,1,21.0
11,2,4,0.35,5,6,1,14.0
28,1,4,0.637,5,12,1,45.0
28,1,4,0.679,5,10,1,57.0
8,1,3,0.432,1,8,2,28.0
12,1,2,0.156,0,2,2,58.0
4,1,3,0.291,1,1,2,12.0
16,1,3,0.684,1,19,2,54.0
28,1,4,0.639,5,9,1,40.0
17,1,5,0.653,2,9,3,50.0
28,0,4,0.605,5,19,1,55.0
28,1,4,0.35,5,6,1,46.0
13,1,5,0.371,2,7,3,40.0
28,1,4,0.252,5,0,1,37.0
28,1,4,0.504,5,9,1,51.0
15,2,4,0.529,5,10,1,19.0
14,1,4,0.512,5,9,1,18.0
19,2,4,0.308,5,6,1,24.0
9,2,5,0.271,2,2,3,27.0
11,1,3,0.676,1,20,2,36.0
28,1,4,0.195,5,3,1,37.0
14,1,5,0.32,2,14,3,43.0
9,1,3,0.198,0,23,3,43.0
17,1,5,0.195,2,0,3,51.0
16,1,5,0.335,2,16,3,49.0
17,2,4,0.608,5,10,1,21.0
27,1,4,0.6,5,21,1,34.0
26,2,4,0.654,5,11,1,32.0
11,1,4,0.227,5,0,1,14.0
3,2,3,0.511,1,17,2,10.0
6,2,5,0.375,2,16,3,18.0
28,1,4,0.656,5,10,1,35.0
18,1,4,0.626,5,9,1,22.0
10,2,5,0.714,2,18,3,30.0
28,0,4,0.665,5,20,1,56.0
16,1,3,0.333,1,15,2,55.0
17,1,5,0.518,2,20,3,50.0
17,1,5,0.661,2,9,3,50.0
28,0,4,0.305,5,8,1,54.0
14,1,3,0.646,1,11,2,47.0
19,0,5,0.735,2,9,3,58.0
28,1,4,0.644,5,18,1,36.0
28,1,4,0.597,5,21,1,47.0
4,2,5,0.229,2,1,3,12.0
11,1,5,0.392,2,15,3,32.0
28,1,4,0.636,5,11,1,40.0
8,2,5,0.288,2,23,3,25.0
28,1,4,0.597,5,20,1,36.0
24,2,4,0.74,5,17,1,30.0
6,2,3,0.281,1,22,2,19.0
28,1,4,0.549,5,17,1,45.0
15,1,3,0.114,1,1,2,50.0
4,1,5,0.525,2,11,3,12.0
20,1,4,0.104,5,5,1,25.0
28,1,4,0.119,5,1,1,60.0
22,2,4,0.671,5,11,1,28.0
6,2,5,0.518,2,11,3,17.0
23,2,4,0.58,5,12,1,29.0
17,1,4,0.711,5,17,1,21.0
6,1,5,0.105,2,2,3,19.0
14,1,3,0.704,1,21,2,47.0
2,1,2,0.57,0,17,2,11.0
6,2,4,0.324,0,8,4,29.0
22,2,4,0.239,5,4,1,27.0
28,2,4,0.426,5,7,1,35.0
11,1,5,0.719,2,10,3,32.0
26,1,4,0.684,5,19,1,33.0
12,1,5,0.701,2,13,3,36.0
20,1,5,0.571,2,21,3,59.0
28,1,4,0.544,5,17,1,55.0
17,2,4,0.688,5,10,1,21.0
28,1,4,0.261,5,22,1,43.0
28,0,4,0.298,5,1,1,51.0
28,1,4,0.183,5,3,1,36.0
18,1,4,0.174,5,22,1,23.0
28,0,4,0.455,5,7,1,59.0
4,1,3,0.168,1,22,2,13.0
12,0,4,0.733,0,9,4,60.0
19,1,4,0.272,5,0,1,24.0
11,1,4,0.186,0,1,4,56.0
28,1,4,0.45,5,15,1,44.0
8,2,4,0.689,5,13,1,10.0
26,2,4,0.321,5,15,1,33.0
14,1,5,0.281,2,0,3,43.0
28,1,4,0.626,5,9,1,60.0
7,2,4,0.465,0,16,4,35.0
13,1,5,0.364,2,15,3,39.0
10,2,5,0.479,2,15,3,29.0
12,0,3,0.178,0,4,3,59.0
26,1,4,0.302,5,16,1,32.0
28,1,4,0.281,5,0,1,49.0
13,1,3,0.318,1,6,2,43.0
11,2,5,0.58,2,20,3,33.0
14,2,4,0.738,5,10,1,18.0
28,1,4,0.29,5,2,1,42.0
21,2,4,0.643,5,11,1,26.0
20,1,4,0.658,5,21,1,25.0
20,1,4,0.19,5,1,1,25.0
23,1,4,0.159,5,3,1,29.0
9,1,5,0.166,2,5,3,27.0
10,0,3,0.668,0,19,3,51.0
28,1,4,0.688,5,18,1,39.0
28,0,4,0.698,5,13,1,53.0
12,0,4,0.258,0,0,4,59.0
7,2,5,0.318,2,15,3,21.0
4,2,3,0.399,0,15,3,18.0
12,1,3,0.312,1,15,2,40.0
10,2,3,0.41,1,14,2,32.0
28,1,4,0.61,5,9,1,50.0
28,1,4,0.278,5,0,1,41.0
9,1,3,0.588,0,12,3,47.0
28,1,4,0.529,5,12,1,37.0
28,1,4,0.129,5,0,1,46.0
10,2,5,0.69,2,10,3,29.0
10,2,5,0.655,2,20,3,29.0
9,1,2,0.32,0,6,2,44.0
13,1,3,0.317,1,14,2,43.0
28,1,4,0.24,5,3,1,46.0
28,0,4,0.315,5,7,1,56.0
12,0,4,0.464,0,15,4,60.0
8,1,4,0.241,0,3,4,40.0
28,1,4,0.316,5,7,1,50.0
5,1,5,0.521,2,13,3,16.0
10,1,3,0.497,1,14,2,33.0
28,1,4,0.594,5,13,1,47.0
17,1,4,0.593,5,13,1,21.0
28,1,4,0.263,5,23,1,58.0
14,1,5,0.289,2,0,3,41.0
16,1,5,0.747,2,10,3,49.0
11,1,3,0.251,1,4,2,36.0
23,1,4,0.594,5,12,1,29.0
15,1,5,0.117,2,2,3,45.0
12,1,4,0.694,5,17,1,15.0
26,1,4,0.212,5,4,1,33.0
13,1,5,0.385,2,16,3,39.0
28,1,4,0.481,5,15,1,52.0
28,1,4,0.322,5,16,1,49.0
28,0,4,0.199,5,2,1,57.0
28,0,4,0.503,5,11,1,59.0
28,1,4,0.194,5,5,1,41.0
28,1,4,0.111,5,5,1,43.0
2,2,3,0.124,0,23,3,12.0
6,2,2,0.529,0,20,2,31.0
28,1,4,0.23,5,0,1,41.0
24,1,4,0.687,5,12,1,30.0
28,1,4,0.417,5,16,1,55.0
14,1,5,0.292,2,5,3,42.0
28,0,4,0.175,5,2,1,59.0
9,1,4,0.357,5,14,1,11.0
8,1,2,0.274,0,22,2,42.0
24,1,4,0.145,5,22,1,30.0
10,1,4,0.493,5,15,1,12.0
28,1,4,0.503,5,18,1,41.0
14,1,5,0.742,2,17,3,42.0
18,1,4,0.511,5,21,1,23.0
18,1,3,0.478,1,8,2,60.0
4,1,3,0.632,0,19,3,18.0
28,1,4,0.748,5,18,1,44.0
4,1,5,0.518,2,19,3,13.0
8,2,4,0.638,5,10,1,10.0
28,1,4,0.294,5,4,1,48.0
28,1,4,0.405,5,7,1,55.0
28,1,4,0.657,5,17,1,37.0
28,1,4,0.239,5,4,1,54.0
28,1,4,0.391,5,16,1,40.0
28,1,4,0.657,5,13,1,48.0
28,1,4,0.646,5,17,1,59.0
23,2,4,0.48,5,8,1,29.0
23,1,4,0.109,5,22,1,29.0
12,2,4,0.156,5,0,1,15.0
16,1,3,0.49,1,15,2,55.0
28,0,4,0.723,5,9,1,51.0
28,0,4,0.614,5,9,1,53.0
28,1,4,0.224,5,23,1,53.0
6,2,3,0.569,1,11,2,19.0
13,1,5,0.547,2,10,3,40.0
18,0,3,0.616,1,19,2,59.0
5,2,5,0.171,2,23,3,15.0
10,2,4,0.646,5,10,1,12.0
28,1,4,0.116,5,5,1,42.0
28,0,4,0.744,5,9,1,55.0
28,1,4,0.497,5,6,1,45.0
28,1,4,0.44,5,16,1,36.0
14,2,4,0.634,5,21,1,17.0
9,1,4,0.362,5,7,1,11.0
14,2,4,0.703,5,13,1,18.0
20,2,4,0.671,5,17,1,25.0
28,1,4,0.541,5,17,1,49.0
14,1,5,0.282,2,22,3,42.0
8,1,4,0.465,5,6,1,10.0
14,1,5,0.49,2,16,3,42.0
18,0,3,0.445,1,15,2,60.0
28,1,4,0.423,5,15,1,49.0
5,2,3,0.184,1,0,2,16.0
13,1,5,0.287,2,1,3,38.0
18,0,5,0.473,2,16,3,53.0
26,2,4,0.109,5,23,1,33.0
28,0,4,0.305,5,16,1,52.0
8,1,4,0.175,0,23,4,38.0
28,1,4,0.703,5,21,1,37.0
8,2,5,0.747,2,21,3,24.0
20,2,4,0.33,5,7,1,25.0
4,2,5,0.419,2,8,3,12.0
18,1,5,0.595,2,13,3,53.0
13,2,4,0.494,5,6,1,16.0
9,1,5,0.268,2,0,3,26.0
15,1,5,0.468,2,8,3,44.0
9,1,3,0.194,1,1,2,29.0
10,1,3,0.604,0,12,3,51.0
22,1,4,0.568,5,13,1,27.0
10,1,4,0.311,5,8,1,13.0
10,1,4,0.716,5,11,1,12.0
5,2,5,0.463,2,14,3,16.0
11,0,3,0.3,0,3,3,57.0
14,1,4,0.499,5,7,1,17.0
16,1,5,0.639,2,10,3,48.0
16,1,5,0.254,2,0,3,47.0
28,1,4,0.289,5,23,1,40.0
4,1,5,0.47,2,7,3,13.0
28,1,4,0.562,5,13,1,43.0
11,2,4,0.19,5,1,1,14.0
17,0,5,0.532,2,12,3,52.0
20,1,4,0.739,5,19,1,25.0
5,2,5,0.652,2,9,3,16.0
11,1,4,0.346,5,8,1,14.0
19,1,4,0.434,5,7,1,24.0
28,0,4,0.655,5,13,1,56.0
16,2,4,0.59,5,17,1,20.0
11,2,5,0.123,2,3,3,33.0
9,1,3,0.668,1,11,2,30.0
28,1,4,0.404,5,7,1,41.0
9,1,4,0.693,0,20,4,43.0
28,1,4,0.204,5,5,1,45.0
28,1,4,0.713,5,18,1,42.0
17,2,4,0.41,5,15,1,21.0
28,1,4,0.412,5,16,1,37.0
5,1,2,0.719,0,20,2,26.0
19,2,4,0.601,5,19,1,24.0
14,2,4,0.127,5,4,1,17.0
26,2,4,0.507,5,19,1,32.0
11,2,5,0.689,2,13,3,32.0
13,1,5,0.224,2,4,3,38.0
28,0,4,0.241,5,3,1,57.0
10,1,3,0.553,1,19,2,32.0
10,1,4,0.534,5,20,1,13.0
8,1,3,0.103,0,5,3,39.0
28,1,4,0.37,5,8,1,46.0
28,1,4,0.218,5,22,1,42.0
15,0,3,0.598,1,19,2,51.0
17,0,3,0.609,1,9,2,57.0
7,2,3,0.726,1,9,2,23.0
19,2,4,0.17,5,3,1,24.0
17,0,5,0.203,2,1,3,51.0
26,1,4,0.696,5,13,1,32.0
16,0,3,0.599,1,20,2,53.0
28,1,4,0.224,5,5,1,43.0
7,2,5,0.472,2,16,3,20.0
11,2,4,0.29,5,1,1,14.0
11,1,5,0.329,2,6,3,33.0
16,1,4,0.732,5,21,1,20.0
22,1,4,0.198,5,2,1,28.0
28,1,4,0.152,5,22,1,46.0
8,1,3,0.192,0,23,3,40.0
14,2,4,0.296,5,22,1,18.0
13,1,3,0.399,1,15,2,44.0
7,1,3,0.582,0,10,3,34.0
28,0,4,0.427,5,15,1,56.0
14,1,4,0.56,5,11,1,17.0
24,2,4,0.315,5,7,1,30.0
28,0,4,0.532,5,18,1,52.0
18,1,4,0.126,5,5,1,22.0
28,1,4,0.538,5,12,1,55.0
15,1,3,0.128,1,22,2,49.0
26,2,4,0.228,5,4,1,33.0
14,2,4,0.136,5,2,1,17.0
18,2,4,0.586,5,20,1,22.0
2,2,3,0.479,0,6,3,11.0
12,1,4,0.195,5,22,1,15.0
16,1,3,0.234,1,3,2,52.0
9,1,4,0.334,5,8,1,11.0
28,1,4,0.138,5,23,1,35.0
25,1,4,0.108,5,23,1,31.0
19,0,5,0.334,2,14,3,56.0
28,1,4,0.156,5,4,1,39.0
16,1,5,0.135,2,4,3,48.0
8,2,3,0.522,1,18,2,27.0
28,1,4,0.124,5,22,1,38.0
5,2,4,0.192,0,5,4,25.0
28,1,4,0.141,5,4,1,44.0
17,0,5,0.591,2,13,3,52.0
21,1,4,0.626,5,13,1,26.0
28,1,4,0.673,5,18,1,50.0
8,1,4,0.51,0,13,4,42.0
28,1,4,0.7,5,11,1,44.0
19,2,4,0.657,5,18,1,24.0
9,1,4,0.316,0,8,4,45.0
8,2,4,0.275,5,5,1,10.0
14,1,4,0.484,5,8,1,18.0
28,0,4,0.515,5,17,1,59.0
13,2,4,0.355,5,8,1,16.0
28,1,4,0.702,5,13,1,38.0
10,1,3,0.25,0,22,3,50.0
14,1,4,0.137,5,3,1,17.0
27,2,4,0.342,5,6,1,34.0
4,2,3,0.593,1,19,2,12.0
14,1,3,0.197,1,4,2,46.0
20,1,4,0.655,5,11,1,25.0
5,1,5,0.592,2,13,3,15.0
7,2,4,0.616,0,19,4,34.0
22,2,4,0.687,5,21,1,27.0
28,0,4,0.107,5,4,1,54.0
18,1,4,0.15,5,2,1,23.0
25,2,4,0.243,5,3,1,31.0
28,0,4,0.479,5,7,1,60.0
9,1,4,0.628,0,18,4,44.0
7,2,5,0.406,2,15,3,21.0
28,0,4,0.527,5,19,1,56.0
28,1,4,0.189,5,1,1,52.0
22,2,4,0.207,5,4,1,27.0
28,1,4,0.148,5,5,1,39.0
10,1,3,0.154,1,1,2,34.0
5,2,3,0.375,0,7,3,27.0
12,1,4,0.304,5,8,1,15.0
24,2,4,0.581,5,9,1,30.0
18,0,5,0.142,2,5,3,55.0
14,1,5,0.365,2,6,3,42.0
25,1,4,0.124,5,23,1,31.0
28,1,4,0.723,5,21,1,51.0
7,1,3,0.648,1,20,2,24.0
9,1,2,0.436,0,8,2,47.0
28,1,4,0.458,5,15,1,46.0
28,0,4,0.4,5,16,1,58.0
28,1,4,0.317,5,8,1,42.0
3,2,3,0.634,0,13,3,14.0
9,1,4,0.647,5,17,1,11.0
28,1,4,0.449,5,15,1,35.0
26,1,4,0.608,5,19,1,32.0
19,1,5,0.126,2,3,3,58.0
10,2,5,0.157,2,22,3,30.0
16,1,4,0.173,5,22,1,20.0
6,1,3,0.429,1,6,2,19.0
5,2,3,0.214,0,5,3,26.0
12,2,5,0.171,2,22,3,35.0
28,0,4,0.297,5,22,1,59.0
15,1,3,0.421,1,15,2,51.0
28,0,4,0.147,5,1,1,53.0
28,1,4,0.12,5,3,1,59.0
26,1,4,0.331,5,14,1,32.0
23,2,4,0.349,5,16,1,29.0
15,1,5,0.132,2,22,3,46.0
11,2,5,0.547,2,17,3,32.0
6,2,3,0.157,0,22,3,30.0
28,1,4,0.543,5,20,1,60.0
13,1,5,0.279,2,23,3,40.0
12,1,4,0.116,0,0,4,58.0
4,2,2,0.631,0,18,2,19.0
14,1,3,0.182,1,0,2,45.0
9,1,5,0.746,2,19,3,28.0
25,1,4,0.528,5,13,1,31.0
9,2,3,0.38,1,6,2,29.0
5,2,3,0.742,1,19,2,17.0
28,1,4,0.716,5,12,1,39.0
27,2,4,0.263,5,1,1,34.0
28,1,4,0.352,5,8,1,37.0
4,1,3,0.543,0,11,3,18.0
18,1,5,0.667,2,11,3,55.0
28,1,4,0.732,5,9,1,39.0
16,1,5,0.411,2,6,3,49.0
3,1,5,0.643,2,17,3,10.0
26,1,4,0.356,5,15,1,33.0
2,1,4,0.254,0,0,4,10.0
28,1,4,0.547,5,12,1,40.0
8,1,4,0.365,5,14,1,10.0
14,2,4,0.185,5,0,1,17.0
28,1,4,0.202,5,2,1,45.0
10,2,5,0.561,2,11,3,31.0
6,2,5,0.529,2,18,3,19.0
